,clf name & configuration,AP,MagicTelescope,abalone,anneal,ar1,arrhythmia,audiology,autos,badges2,balance-scale,baseball,breast-cancer,breast-w,bupa,car,car-evaluation,cm1,cmc,colic,contact-lenses,credit-a,credit-g,cylinder-bands,dermatology,desharnais,ecoli,electricity,eucalyptus,eye,glass,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,lymph,mfeat-factors,mfeat-fourier,mfeat-karhunen,mfeat-morphological,mfeat-pixel,mfeat-zernike,mushroom,nursery,optdigits,ozone-level-8hr,page-blocks,pasture,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,sick,solar-flare,sonar,soybean,spambase,splice,teachingAssistant,tic-tac-toe,vote,vowel,waveform-5000,yeast,zoo
8defbe5a09d5dcdbbc0db8850b0d2723,"weka.classifiers.rules.JRip-['-N', 4]",0.9338,0.9999,0.6608,0.8909,0.9256,0.7124,0.6726,0.6976,1,0.7808,0.9291,0.7133,0.9571,0.6841,0.8715,1,0.9888,0.9939,0.837,0.625,0.9232,0.722,0.7704,0.8415,0.7284,0.9315,0.8499,0.5856,0.5479,0.6636,0.7954,0.9966,0.7963,0.7806,0.9886,0.9088,0.98,0.9981,0.9986,0.8772,0.8342,0.7635,0.9555,0.964,0.971,0.9835,0.963,0.971,1,0.9693,0.898,0.9301,0.9726,0.7778,0.959,0.7111,0.3746,0.8633,0.955,0.9783,0.7778,0.9952,0.9414,0.9996,0.9991,0.7748,0.999,0.954,0.6869,0.7894,0.6078,0.8713
55795693f1461bd11c85904f0b24fd44,"weka.classifiers.rules.PART-['-C', 0.15, '-M', 4]",0.9338,0.9999,0.6519,0.9065,0.9339,0.6261,0.7522,0.6585,1,0.8192,0.9261,0.6888,0.9456,0.6754,0.9543,1,0.9888,0.9952,0.8179,0.875,0.9116,0.725,0.7352,0.9344,0.6667,0.9583,0.8602,0.5707,0.6093,0.6682,0.7888,0.9932,0.7926,0.8129,0.995,0.906,0.98,0.9994,0.9993,0.7895,0.8686,0.7973,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9879,0.916,0.914,0.97,0.75,0.9639,0.7111,0.3953,0.868,0.9567,0.9836,0.7937,0.9952,0.937,0.9996,0.9994,0.4305,0.999,0.9586,0.7444,0.7772,0.5654,0.8812
79bcd12372c603677cd800fc876f6e87,"weka.classifiers.rules.PART-['-C', 0.15, '-M', 6]",0.9316,0.9999,0.6459,0.8931,0.9174,0.6549,0.6814,0.6439,1,0.792,0.9343,0.7343,0.9485,0.687,0.9439,1,0.9888,0.9952,0.8397,0.7083,0.9159,0.702,0.7352,0.9235,0.642,0.9613,0.8589,0.6101,0.6117,0.6729,0.7822,0.9932,0.7926,0.7806,0.9928,0.886,0.98,0.9994,0.9993,0.7544,0.8548,0.7905,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9829,0.9167,0.9286,0.9717,0.7222,0.9609,0.7111,0.3982,0.8602,0.9528,0.9785,0.8063,0.9952,0.9268,0.9996,0.9994,0.4371,0.999,0.9632,0.6889,0.7812,0.5836,0.901
11e7bd04a51cebfa54ed0615a1865884,"weka.classifiers.rules.JRip-['-N', 8]",0.9402,0.9999,0.6517,0.8831,0.9256,0.6637,0.5973,0.6585,1,0.7808,0.9269,0.7168,0.9413,0.6754,0.8675,1,0.9888,0.9939,0.856,0.625,0.9145,0.727,0.7685,0.8333,0.6914,0.9315,0.8539,0.5978,0.5401,0.5748,0.802,0.9966,0.7889,0.8,0.9883,0.906,0.98,0.9981,0.9987,0.8421,0.8133,0.7162,0.948,0.9645,0.9685,0.977,0.9585,0.9605,0.9995,0.9589,0.8991,0.927,0.9709,0.2778,0.9524,0.7111,0.354,0.8607,0.9519,0.9785,0.7587,0.9952,0.8799,0.9996,0.9991,0.6291,0.999,0.954,0.6232,0.7944,0.5863,0.6238
fa68f3ea0148da945ab04f233b7d86b4,"weka.classifiers.rules.PART-['-C', 0.15, '-M', 2]",0.938,0.9999,0.6378,0.9087,0.9008,0.6504,0.7965,0.8146,1,0.8208,0.9142,0.6853,0.9614,0.713,0.9618,1,0.9888,0.9952,0.7772,0.8333,0.942,0.71,0.7352,0.9508,0.679,0.9524,0.8532,0.5707,0.626,0.6822,0.7492,0.9932,0.7704,0.7806,0.9936,0.8946,0.98,0.9994,0.9993,0.8596,0.8801,0.7838,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9888,0.9285,0.9215,0.9717,0.7222,0.9689,0.6111,0.3894,0.8636,0.9623,0.9814,0.7683,0.9952,0.9663,0.9996,0.9994,0.4172,0.999,0.9609,0.7576,0.7816,0.5748,0.9109
15a5433c9ff0a01f1f452986b377d916,"weka.classifiers.rules.PART-['-C', 0.25, '-M', 2]",0.938,0.9999,0.6325,0.9053,0.8843,0.6504,0.8009,0.8146,1,0.8176,0.9157,0.6923,0.9485,0.713,0.9595,1,0.9888,0.9952,0.788,0.8333,0.9232,0.694,0.7352,0.9508,0.6667,0.9524,0.8533,0.572,0.6216,0.6776,0.7492,0.9932,0.7556,0.7806,0.9936,0.8946,0.98,0.9994,0.9993,0.8421,0.8843,0.7568,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9907,0.9276,0.9215,0.9717,0.7222,0.9693,0.6333,0.3835,0.863,0.9623,0.9806,0.8032,0.9952,0.9663,0.9996,0.9994,0.4238,0.999,0.9609,0.7535,0.7816,0.5721,0.9109
6ddac3f39b941be9ae32f919aaa33126,"weka.classifiers.rules.JRip-['-N', 16]",0.9274,0.9999,0.6474,0.8207,0.9256,0.5996,0.3938,0.4683,1,0.728,0.9269,0.7098,0.9442,0.6609,0.8137,1,0.7753,0.9939,0.856,0.625,0.8812,0.74,0.7556,0.571,0.5679,0.878,0.8552,0.5448,0.5555,0.5187,0.769,0.9966,0.763,0.7935,0.9889,0.906,0.98,0.9981,0.9978,0.6491,0.7676,0.6824,0.939,0.9495,0.9535,0.9755,0.9455,0.955,0.998,0.9404,0.873,0.9294,0.9653,0.2778,0.9403,0.7111,0.2478,0.8509,0.9251,0.9769,0.7778,0.9952,0.593,0.9996,0.9991,0.3709,0.999,0.9517,0.4859,0.7954,0.5741,0.4059
1168c9bfde0a8c61b18d36d1feaf8f43,"weka.classifiers.rules.PART-['-C', 0.25, '-M', 6]",0.9316,0.9999,0.6457,0.8864,0.9174,0.6726,0.6814,0.6244,1,0.8,0.9351,0.7273,0.9485,0.6841,0.9468,1,0.9888,0.9952,0.8342,0.7083,0.9188,0.713,0.7352,0.9235,0.642,0.9613,0.8601,0.5924,0.6062,0.6682,0.7954,0.9932,0.7926,0.7806,0.9928,0.8832,0.98,0.9994,0.9993,0.7368,0.854,0.7703,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9842,0.9178,0.9278,0.9722,0.7222,0.9608,0.7111,0.4071,0.8663,0.9532,0.9785,0.8159,0.9952,0.9239,0.9996,0.9994,0.457,0.999,0.9632,0.6838,0.779,0.5809,0.901
d17dc3dc4024bc64a11e433a5bd34de4,"weka.classifiers.rules.JRip-['-N', 8, '-O', 4]",,0.9999,0.6569,0.8964,0.9256,0.6814,0.5708,0.6732,1,0.784,0.9306,0.7133,0.9499,0.687,0.8652,1,0.9888,0.9939,0.856,0.625,0.9261,0.722,0.7648,0.8388,0.6543,0.9256,,0.6019,0.5544,0.6028,0.8152,0.9966,0.7778,0.8,0.9894,0.9088,0.98,0.9984,0.9988,0.8421,0.8252,0.7095,0.951,0.974,0.962,0.98,0.963,0.9645,0.9995,0.9621,0.8996,0.9227,0.9695,0.2778,0.9565,0.7111,0.3805,0.858,0.9532,0.9793,0.7778,0.9952,0.8917,0.9996,0.9991,0.6424,0.999,0.954,0.6404,0.8026,0.593,0.6238
ce241685d443a617c3abcbf257bf94bf,"weka.classifiers.rules.JRip-['-N', 2]",0.9209,0.9999,0.6608,0.8942,0.9008,0.7035,0.7301,0.6976,1,0.7952,0.9306,0.7133,0.9557,0.7043,0.8796,1,0.9888,0.9946,0.8533,0.7083,0.9203,0.722,0.7907,0.877,0.7531,0.9464,0.8499,0.5897,0.5479,0.6963,0.7987,0.9966,0.7815,0.8065,0.9897,0.8974,0.98,0.9981,0.9986,0.807,0.8342,0.7635,0.956,0.972,0.966,0.9835,0.9625,0.97,1,0.9681,0.9073,0.929,0.9715,0.7778,0.9595,0.7,0.3717,0.856,0.9524,0.9785,0.7714,0.9952,0.9356,0.9996,0.9991,0.8411,0.999,0.9517,0.6848,0.7894,0.6132,0.8713
a5754099ee06d24899d6c3df39653c5a,"weka.classifiers.trees.J48-['-M', 2]",0.9338,0.8511,0.609,0.9265,0.8843,0.6681,0.7876,0.8146,1,0.776,0.9321,0.7343,0.9428,0.687,0.9155,1,0.7416,0.5146,0.8424,0.8333,0.8551,0.733,0.5778,0.9426,0.6914,0.8244,0.9006,0.6114,0.6457,0.6542,0.7723,0.8265,0.7778,0.7677,0.9947,0.8974,0.96,0.9928,0.556,0.8421,0.8737,0.8041,,,,,,,1,0.9659,0.9048,0.9242,0.9708,0.75,0.9632,0.6889,0.3923,0.8664,0.9645,0.9852,0.7524,0.7115,0.9297,0.9261,0.942,0.5364,0.8424,0.9655,0.7758,0.758,0.5546,0.9208
2ec68f22d14b7eb7799d27e39dfb80f4,"weka.classifiers.trees.J48-['-M', 2, '-O']",0.9338,0.8511,0.609,0.9265,0.8843,0.6681,0.7876,0.8146,1,0.776,0.9321,0.7343,0.9428,0.687,0.9155,1,0.7416,0.5146,0.8424,0.8333,0.8551,0.733,0.5778,0.9426,0.6914,0.8244,0.9006,0.6114,0.6457,0.6542,0.7723,0.8265,0.7778,0.7677,0.9947,0.8974,0.96,0.9928,0.556,0.8421,0.8737,0.8041,,,,,,,1,0.9659,0.9048,0.9242,0.9708,0.75,0.9632,0.6889,0.3923,0.8664,0.9645,0.9852,0.7524,0.7115,0.9297,0.9261,0.942,0.5364,0.8424,0.9655,0.7758,0.758,0.5546,0.9208
3bfe2b3d200317550d951168d116b86c,"weka.classifiers.trees.J48-['-M', 2, '-R']",0.9252,0.8484,0.6335,0.9076,0.9256,0.677,0.7301,0.6341,1,0.7808,0.9187,0.7378,0.9499,0.6348,0.8906,1,0.764,0.5187,0.8505,0.75,0.8493,0.724,0.5759,0.929,0.6914,0.8006,0.8802,0.5788,0.607,0.6729,0.7723,0.8129,0.7519,0.7742,0.9942,0.8946,0.9467,0.9912,0.5087,0.7544,0.839,0.7568,,,,,,,1,0.9593,0.887,0.9353,0.9702,0.5833,0.9498,0.7111,0.3923,0.8611,0.9459,0.9857,0.7524,0.726,0.9224,0.9235,0.9348,0.4901,0.8372,0.9563,0.7263,0.7678,0.5714,0.8812
eb801df3e0d78e8128692c10c8450bcb,"weka.classifiers.trees.J48-['-M', 1]",0.9338,0.8513,0.6067,0.9243,0.876,0.6482,0.8274,0.8195,1,0.776,0.9291,0.7203,0.9485,0.687,0.9155,1,0.7303,0.5085,0.8397,0.8333,0.8522,0.725,0.5759,0.9481,0.6914,0.8185,0.9038,0.6073,0.6568,0.6729,0.7657,0.8299,0.7704,0.7355,0.9955,0.9003,0.9533,0.9941,0.5775,0.8421,0.8791,0.8108,,,,,,,1,0.966,0.9032,0.9211,0.9708,0.6944,0.9659,0.7,0.3805,0.8638,0.9662,0.9862,0.7206,0.7163,0.9385,0.9294,0.9364,0.5894,0.8591,0.9678,0.7919,0.7578,0.5512,0.9208
9570e3d91aea8329224ada85e7341258,"weka.classifiers.trees.J48-['-M', 3]",0.9316,0.8514,0.6122,0.9198,0.9008,0.6504,0.7832,0.7415,1,0.7792,0.9328,0.7378,0.9471,0.6899,0.9103,1,0.7416,0.5153,0.8424,0.875,0.8609,0.729,0.5778,0.9399,0.6667,0.8214,0.8977,0.6277,0.6451,0.6542,0.7954,0.8537,0.7741,0.7871,0.9947,0.9003,0.96,0.9922,0.5505,0.8421,0.8648,0.7838,,,,,,,1,0.9596,0.9014,0.9223,0.9699,0.7778,0.9617,0.6889,0.4189,0.8712,0.961,0.9875,0.7333,0.7019,0.9239,0.9268,0.9423,0.4636,0.833,0.9655,0.7556,0.7616,0.5465,0.9208
f6350cdce528308a1f8c23c78545061c,"weka.classifiers.trees.J48-['-M', 1, '-U']",0.9338,0.8499,0.5959,0.9165,0.8843,0.6372,0.8186,0.8537,1,0.7808,0.9284,0.6364,0.9471,0.6899,0.9225,1,0.764,0.4671,0.7554,0.75,0.8116,0.677,0.5778,0.9426,0.6667,0.8095,0.9079,0.5938,0.6547,0.6729,0.7393,0.7993,0.7407,0.7419,0.995,0.906,0.9467,0.9959,0.5721,0.7895,0.878,0.7973,,,,,,,1,0.9844,0.9043,0.9175,0.9682,0.6944,0.9667,0.5444,0.354,0.8579,0.9654,0.9846,0.7048,0.7163,0.9209,0.925,0.916,0.6623,0.8737,0.9609,0.8283,0.7568,0.5357,0.9406
a23f4365fb1d4f90304a7ab72379f4d3,"weka.classifiers.trees.RandomTree-['-K', 3]",0.8013,0.9976,0.5901,0.7773,0.876,0.4867,0.5929,0.7561,0.9694,0.776,0.9209,0.6154,0.9557,0.687,0.9103,0.8981,0.9775,0.8187,0.7174,0.75,0.8203,0.651,0.6852,0.8689,0.716,0.9345,0.8896,0.5353,0.5084,0.6916,0.7558,0.9456,0.7296,0.7097,0.9475,0.8803,0.9867,0.9568,0.8496,0.8246,0.8226,0.7297,0.8185,0.6205,0.668,0.982,0.585,0.661,0.9988,0.9225,0.7963,0.9136,0.9604,0.6944,0.9407,0.5889,0.2802,0.8456,0.9281,0.9475,0.6635,0.7933,0.8346,0.9591,0.6871,0.5298,0.9342,0.9172,0.7929,0.6876,0.529,0.7525
6157fffb1a235aec3d3e7bed4aee569f,"weka.classifiers.trees.RandomForest-['-K', 3]",0.9231,0.9999,0.6895,0.8775,0.9008,0.6239,0.7965,0.8293,1,0.8096,0.9291,0.6818,0.97,0.7971,0.952,1,0.9888,0.9369,0.8261,0.7083,0.9014,0.755,0.8093,0.9699,0.7037,0.9673,0.9328,0.5883,0.6946,0.7897,0.8053,0.9966,0.8074,0.8516,0.9883,0.9345,0.9933,0.9978,0.9972,0.9123,0.9613,0.8311,0.97,0.9145,0.9775,0.9935,0.967,0.8825,1,0.9891,0.9786,0.9424,0.9766,0.8611,0.9905,0.6444,0.41,0.914,0.9745,0.9799,0.7778,0.9567,0.9546,0.995,0.9705,0.5629,1,0.9609,0.9798,0.8476,0.6516,0.9406
fa9b3afb4a1d072334e3dd3b3320cf99,"weka.classifiers.trees.RandomTree-['-K', 5]",0.8077,0.9982,0.5961,0.8107,0.9008,0.4403,0.5398,0.7268,0.9932,0.7712,0.9209,0.6189,0.9528,0.7246,0.9363,0.9462,0.9775,0.9294,0.6957,0.7083,0.8319,0.684,0.6907,0.8689,0.6296,0.9613,0.9027,0.5326,0.5613,0.6589,0.7426,0.9932,0.7556,0.7484,0.9687,0.8974,0.98,0.9778,0.9764,0.7895,0.8461,0.75,0.845,0.7185,0.734,0.99,0.645,0.702,0.9999,0.9745,0.8511,0.9155,0.9671,0.6667,0.9482,0.5778,0.2891,0.8499,0.9468,0.9552,0.7397,0.7837,0.8682,0.9613,0.742,0.5762,0.9948,0.9494,0.797,0.7064,0.5256,0.6436
243bf3c2f8683c6f6c6afdc40d30d1c2,"weka.classifiers.trees.RandomForest-['-K', 5]",0.9338,0.9999,0.6864,0.9053,0.9008,0.6527,0.7699,0.8439,1,0.8032,0.9172,0.6678,0.9628,0.7942,0.9578,1,0.9888,0.9912,0.837,0.75,0.9043,0.758,0.8037,0.9645,0.7901,0.9792,0.9366,0.5652,0.7014,0.7897,0.8185,0.9966,0.8111,0.8323,0.9918,0.9316,0.98,0.9994,0.9996,0.8772,0.9592,0.8108,0.973,0.949,0.984,0.9965,0.966,0.9575,1,0.9927,0.9795,0.9432,0.9766,0.8333,0.9904,0.6111,0.3953,0.9162,0.9766,0.9828,0.8127,0.9904,0.9575,0.998,0.9931,0.5828,1,0.9655,0.9727,0.851,0.6496,0.9208
a783dc45d7690a706a7447354f9ec35a,"weka.classifiers.trees.RandomTree-['-K', 4]",0.8226,0.9985,0.6016,0.8185,0.8595,0.5,0.5088,0.761,0.9932,0.7792,0.9269,0.6434,0.9371,0.658,0.9317,0.9057,0.9775,0.8887,0.6712,0.7083,0.829,0.662,0.7315,0.8251,0.6173,0.9375,0.8996,0.5095,0.5379,0.6776,0.6832,0.9728,0.7407,0.7677,0.9703,0.9003,0.98,0.9753,0.9315,0.8246,0.8373,0.7703,0.83,0.7205,0.6635,0.9875,0.6185,0.6935,0.999,0.9591,0.8217,0.9187,0.9646,0.6389,0.9475,0.5556,0.3068,0.8498,0.9433,0.9637,0.7206,0.8077,0.8316,0.9672,0.6981,0.543,0.9885,0.9287,0.8,0.7118,0.5007,0.6436
4ff8a44da51a569143129f570ed77b9f,"weka.classifiers.trees.RandomForest-['-K', 4]",0.9402,0.9999,0.6902,0.8886,0.9008,0.646,0.7788,0.8634,1,0.8048,0.9246,0.6888,0.9628,0.8,0.9543,1,0.9888,0.9701,0.837,0.75,0.9087,0.764,0.7833,0.9617,0.7778,0.9762,0.9363,0.5815,0.6981,0.7944,0.8086,1,0.8222,0.8516,0.9894,0.9316,0.98,0.9984,0.999,0.9298,0.9599,0.8514,0.9725,0.9425,0.9855,0.996,0.9675,0.929,1,0.992,0.9786,0.9432,0.977,0.7778,0.9903,0.6333,0.413,0.9184,0.9771,0.9825,0.7968,0.9904,0.9605,0.9972,0.9868,0.5629,1,0.9632,0.9758,0.8482,0.6442,0.9406
8c405a28a1476d712033cd76615f9624,weka.classifiers.trees.RandomForest-[],0.9573,0.9999,0.6902,0.9053,0.9008,0.6615,0.792,0.8439,1,0.8096,0.9172,0.6888,0.9628,0.7971,0.952,1,0.9888,0.9701,0.837,0.7083,0.9043,0.758,0.7833,0.9617,0.7778,0.9762,0.9363,0.5652,0.7014,0.7944,0.8086,1,0.8222,0.8323,0.9918,0.9345,0.9933,0.9991,0.9972,0.8772,0.9592,0.8108,0.9785,0.9695,0.991,0.9935,0.9675,0.9675,1,0.992,0.9826,0.9432,0.977,0.8333,0.9904,0.6333,0.3953,0.9166,0.9766,0.9828,0.7968,0.9808,0.9546,0.9993,0.9909,0.5629,1,0.9655,0.9758,0.85,0.6442,0.9208
850803081a37414393bc95c1fcdc318f,weka.classifiers.trees.RandomTree-[],0.8397,0.9985,0.6016,0.8374,0.9008,0.4779,0.5973,0.7268,0.9932,0.776,0.9209,0.6434,0.9371,0.687,0.9103,0.9462,0.9775,0.8887,0.6957,0.75,0.8319,0.684,0.7056,0.877,0.6173,0.9375,0.8996,0.5326,0.5613,0.6776,0.6832,0.9728,0.7407,0.7484,0.9687,0.9031,0.9867,0.9878,0.8496,0.7895,0.8461,0.75,0.869,0.7535,0.774,0.982,0.705,0.807,0.9999,0.9591,0.861,0.9104,0.9646,0.6667,0.9482,0.5556,0.2891,0.8577,0.9468,0.9552,0.7206,0.8413,0.8609,0.9583,0.7859,0.5298,0.9885,0.9494,0.8,0.726,0.5007,0.6436
c35d5aa6856f9ea077d5c709e09ea973,"weka.classifiers.functions.MultilayerPerceptron-['-H', '24,24,12', '-N', '150', '-L', '0.1', '-V', '20', '-E', '10']",0.9017,0.8644,0.6586,0.7617,0.9256,0.542,0.2522,0.3268,1,0.4624,0.9067,0.7028,0.8426,0.5797,0.9103,1,0.7753,0.4725,0.7636,0.625,0.858,0.722,0.6037,0.306,0.5679,0.4256,0.8026,0.2908,0.523,0.3458,0.5446,0.6395,0.5556,0.7935,0.9229,0.7949,0.3333,0.8035,0.5993,0.6491,0.0394,0.5473,0.146,0.1,0.1,0.1,0.454,0.1,1,0.9796,0.9699,0.9373,0.8977,0.3056,0.9675,0.7111,0.2478,0.8781,0.8974,0.9507,0.2635,0.5337,0.1947,0.8142,0.7172,0.3245,0.9144,0.8943,0.0909,0.86,0.3032,0.4059
334c9a80f07b01747f598591b22d4a8e,"weka.classifiers.functions.MultilayerPerceptron-['-H', '24,12,12', '-N', '150', '-L', '0.1', '-V', '20', '-E', '10']",0.9017,0.8645,0.6565,0.7617,0.9256,0.542,0.2522,0.3268,1,0.6224,0.9067,0.6993,0.8426,0.5797,0.912,1,0.7753,0.4745,0.7609,0.625,0.858,0.721,0.6463,0.3852,0.5679,0.4256,0.8028,0.3777,0.488,0.3458,0.5446,0.6395,0.5593,0.7935,0.9229,0.7892,0.3333,0.8974,0.584,0.6491,0.0394,0.5473,0.35,0.1,0.1,0.1,0.7015,0.1,1,0.9795,0.9646,0.9369,0.8977,0.3056,0.9817,0.7111,0.2478,0.884,0.7861,0.9388,0.2635,0.5337,0.2562,0.8792,0.7028,0.3245,0.9165,0.8943,0.0909,0.8614,0.3032,0.4059
34eeb734d3debd14f27b735bca4e6cd6,"weka.classifiers.functions.MultilayerPerceptron-['-H', '64,36', '-N', '150', '-L', '0.1', '-V', '20', '-E', '10']",0.9615,0.8631,0.6596,0.8018,0.9256,0.5619,0.5221,0.4634,1,0.8176,0.9254,0.7063,0.9671,0.5797,0.9913,1,0.7753,0.4854,0.7989,0.625,0.8536,0.741,0.7,0.9536,0.5679,0.5476,0.7979,0.5965,0.5397,0.4252,0.8317,0.8776,0.8259,0.8323,0.9393,0.8946,0.9467,0.9894,0.7032,0.8246,0.8914,0.7027,0.97,0.7995,0.9365,0.7295,0.9665,0.8175,1,0.9998,0.9795,0.94,0.9461,0.3056,0.9524,0.7111,0.2832,0.8974,0.9433,0.9629,0.6127,0.6971,0.9253,0.8837,0.9414,0.351,0.9791,0.9655,0.2232,0.8564,0.5101,0.6139
471ad888144bd4a5904ff20c5c98cbb6,"weka.classifiers.lazy.IBk-['-K', 3]",0.953,0.8299,0.5954,0.8118,0.9091,0.5863,0.6504,0.7024,1,0.8416,0.9224,0.7343,0.9642,0.6232,0.9242,0.9971,0.7978,0.4582,0.7745,0.7917,0.8551,0.723,0.7278,0.9508,0.5802,0.8661,0.804,0.5367,0.5586,0.7009,0.8086,0.8707,0.7778,0.8323,0.9327,0.8632,0.9467,0.9609,0.7201,0.8246,0.9512,0.8243,0.9615,0.816,0.96,0.703,0.9595,0.802,1,0.9809,0.9865,0.938,0.9587,0.6944,0.993,0.7,0.3923,0.9112,0.9615,0.9608,0.7111,0.8606,0.918,0.8992,0.7743,0.3775,0.9885,0.9402,0.9596,0.7748,0.5418,0.9109
35fc975640f357333e1140d9b395d642,"weka.classifiers.functions.MultilayerPerceptron-['-H', '72,24', '-N', '300', '-L', '0.05', '-V', '20', '-E', '10']",0.9594,0.8664,0.6655,0.7829,0.9256,0.5642,0.5088,0.478,1,0.8176,0.9231,0.7063,0.9671,0.5797,0.9931,1,0.7753,0.4956,0.8043,0.625,0.858,0.738,0.6667,0.9563,0.5679,0.5595,0.8104,0.6359,0.5411,0.4206,0.8284,0.8776,0.8222,0.8581,0.9419,0.8917,0.9533,0.9831,0.709,0.7719,0.8904,0.7027,0.9715,0.8045,0.933,0.7425,0.958,0.83,1,0.9948,0.982,0.9388,0.9428,0.3056,0.9526,0.7111,0.2802,0.8958,0.9593,0.9661,0.6159,0.6346,0.918,0.8865,0.9495,0.3377,0.9781,0.9701,0.3646,0.8638,0.4926,0.5347
554331e993de48e8004297f24f02682f,"weka.classifiers.functions.MultilayerPerceptron-['-H', '100,50', '-N', '150', '-L', '0.1', '-V', '20', '-E', '10']",0.953,0.8644,0.6615,0.8096,0.9256,0.5575,0.5088,0.4683,1,0.8176,0.9231,0.7168,0.97,0.5797,0.9919,1,0.7753,0.4881,0.8071,0.625,0.8551,0.739,0.7111,0.959,0.5679,0.628,0.7979,0.6114,0.5377,0.4393,0.8251,0.8673,0.8296,0.8323,0.9393,0.8946,0.9467,0.9887,0.7424,0.8596,0.8976,0.7027,0.974,0.804,0.9345,0.731,0.9675,0.8235,1,0.9998,0.9792,0.9392,0.9452,0.3889,0.9525,0.7111,0.2832,0.8978,0.939,0.9626,0.6159,0.6827,0.9327,0.8835,0.9448,0.3576,0.977,0.9678,0.2606,0.8592,0.4919,0.6238
