,clf name & configuration,AP,MagicTelescope,abalone,anneal,ar1,arrhythmia,audiology,autos,badges2,balance-scale,baseball,breast-cancer,breast-w,bupa,car,car-evaluation,cm1,cmc,colic,contact-lenses,credit-a,credit-g,cylinder-bands,dermatology,desharnais,ecoli,electricity,eucalyptus,eye,glass,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,lymph,mfeat-factors,mfeat-fourier,mfeat-karhunen,mfeat-morphological,mfeat-pixel,mfeat-zernike,mushroom,nursery,optdigits,ozone-level-8hr,page-blocks,pasture,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,sick,solar-flare,sonar,soybean,spambase,splice,teachingAssistant,tic-tac-toe,vote,vowel,waveform-5000,yeast,zoo
794e904502702b2fc80158b509f180b4,"weka.classifiers.lazy.LWL-['-W', 'weka.classifiers.trees.J48']",,,0.5825,0.9332,0.876,0.6615,0.8363,0.8341,1,0.8,0.9299,0.7063,0.9385,0.687,0.9294,1,0.7753,0.5044,0.7989,0.8333,0.8493,0.691,0.6093,0.9754,0.7037,0.8571,,0.5965,,0.7009,0.7855,0.8299,0.7704,0.7742,0.9952,0.8917,0.96,0.9953,,0.8421,,0.7973,,,,0.703,,,1,,,,0.9711,0.7778,,0.6889,0.4012,,0.9667,0.9897,0.727,0.7212,0.9253,,0.9373,0.6225,0.9447,0.9632,0.8192,,0.5505,0.9307
4e87cf5dacf0bc9c386619300abae7ca,"weka.classifiers.rules.OneR-['-B', 32]",0.9081,0.7344,0.5942,0.7984,0.9008,0.5973,0.4646,0.5024,1,0.5872,0.9067,0.6713,0.9156,0.571,0.7002,0.7182,0.764,0.482,0.8098,0.7083,0.8551,0.706,0.4963,0.4973,0.7284,0.6726,0.7582,0.5598,0.422,0.5093,0.7426,0.8095,0.7074,0.8194,0.9597,0.8091,0.9267,0.6777,0.248,0.7544,0.1714,0.75,0.396,0.3995,0.3315,0.4875,0.2265,0.297,0.9852,0.7097,0.2681,0.9384,0.9366,0.7222,0.3906,0.6778,0.2714,0.598,0.6247,0.9472,0.5524,0.6683,0.4085,0.7824,0.2436,0.4106,0.6994,0.9517,0.3121,0.5522,0.3989,0.4257
44395127ba01d42408401c685a972bf9,"weka.classifiers.rules.OneR-['-B', 8]",0.938,0.716,0.5976,0.7984,0.9008,0.5774,0.4646,0.5463,1,0.5872,0.9067,0.6713,0.9156,0.5507,0.7002,0.7182,0.764,0.4807,0.8098,0.7083,0.8551,0.676,0.4963,0.4973,0.7037,0.6577,0.7585,0.5543,0.5197,0.5561,0.7426,0.8095,0.7074,0.8065,0.9544,0.8519,0.9267,0.6777,0.248,0.7544,0.1714,0.75,0.3855,0.4085,0.319,0.462,0.2265,0.2815,0.9852,0.7097,0.2658,0.9357,0.9381,0.7222,0.3871,0.6778,0.2714,0.5949,0.6463,0.9435,0.5524,0.6731,0.4085,0.7877,0.2436,0.4106,0.6994,0.9517,0.3172,0.5446,0.4036,0.4257
a362f5adbac1e4fb3e094ccfd20cc5f5,weka.classifiers.functions.SimpleLogistic-['-P'],0.9487,0.9999,0.6533,0.8842,0.9091,0.6748,0.8274,0.7463,1,0.888,0.9321,0.7448,0.9657,0.6812,0.9317,1,1,0.6103,0.8016,0.7917,0.8725,0.758,0.8056,0.959,0.6667,0.9702,0.7606,0.6535,0.5046,0.6262,0.8284,1,0.837,0.8387,0.9666,0.8889,1,0.9831,0.9998,0.8596,0.7745,0.8378,0.994,0.986,0.993,0.991,0.9895,0.993,1,0.9249,0.9685,0.942,0.9655,0.8056,0.9554,0.6778,0.4277,0.8619,0.9528,0.9658,0.7937,1,0.9385,0.9991,0.9994,0.596,1,0.9747,0.8404,0.8662,0.5937,0.9109
9c08970283e3b59d89ad9bbee55ac3fd,weka.classifiers.functions.SimpleLogistic-['-A'],0.953,1,0.6483,0.8864,0.9174,0.6836,0.8407,0.7512,1,0.8672,0.9366,0.7343,0.9628,0.6638,0.9248,1,0.9888,0.6056,0.8071,0.75,0.8522,0.754,0.7611,0.9645,0.7037,0.9732,0.7607,0.6535,0.5046,0.6168,0.8152,1,0.8222,0.8258,0.9555,0.8946,1,0.9768,0.9997,0.8772,0.7731,0.8514,0.99,0.982,0.9885,0.9865,0.983,0.99,0.9995,0.9255,0.9719,0.9404,0.9627,0.8333,0.9541,0.6556,0.4336,0.8594,0.945,0.9639,0.7968,1,0.9429,0.9996,0.9994,0.5497,1,0.9724,0.8071,0.8674,0.5896,0.9208
894cea6b93e08069f64dacf0d3dba99e,"weka.classifiers.functions.SMO-['-K', 'weka.classifiers.functions.supportVector.RBFKernel']",0.8932,0.7797,0.5365,0.7617,0.9256,0.542,0.4115,0.4341,1,0.8624,0.9067,0.7028,0.9599,0.5797,0.8426,1,0.7753,0.427,0.8261,0.625,0.8551,0.7,0.6963,0.9699,0.5679,0.4256,0.6855,0.4728,0.4544,0.3551,0.835,0.8571,0.8222,0.7935,0.9229,0.7464,0.9267,0.9133,0.3873,0.6491,0.5311,0.8041,0.9565,0.773,0.924,0.5675,0.9775,0.7505,0.999,0.9226,0.9687,0.9369,0.898,0.3889,0.9096,0.7111,0.2478,0.8292,0.8173,0.9388,0.6889,0.6779,0.8814,0.7307,0.9611,0.3444,0.7296,0.9425,0.3394,0.8506,0.312,0.6733
454975ca5f2b2a7ce6af3b6f94a776a2,weka.classifiers.functions.SimpleLogistic-[],0.953,0.9999,0.6514,0.8797,0.9174,0.7434,0.8186,0.7366,1,0.8672,0.9388,0.7587,0.9628,0.6783,0.9288,1,1,0.6164,0.8342,0.7917,0.8522,0.759,0.75,0.9536,0.6914,0.9673,0.7609,0.6413,0.5061,0.6449,0.835,1,0.837,0.8387,0.9608,0.8746,1,0.9781,0.9995,0.8596,0.7718,0.8378,0.9925,0.9845,0.9925,0.9905,0.989,0.992,0.9996,0.9254,0.9722,0.9392,0.9647,0.8889,0.9541,0.7111,0.4248,0.8599,0.9506,0.9669,0.7968,0.9808,0.9444,0.9993,0.9987,0.5166,1,0.9678,0.8212,0.8688,0.597,0.9208
4ecf11578359522129370b8aead2a32f,"weka.classifiers.functions.Logistic-['-M', 100]",,0.9997,0.6555,0.8686,0.876,0.531,0.8009,0.6732,0.9966,0.888,0.9358,0.6923,0.9642,0.6812,0.9329,1,0.9551,0.6103,0.75,0.625,0.8522,0.761,0.7463,0.959,0.716,0.9375,0.7607,0.6467,0.5043,0.6355,0.8185,0.9864,0.837,0.8129,0.9658,0.8718,0.9933,0.9825,0.7017,0.807,0.7732,0.7838,0.979,0.9215,0.949,0.978,,0.9405,1,0.9246,0.9584,0.9369,0.9642,0.6944,0.9534,0.5444,0.41,0.861,0.9545,0.9655,0.7873,0.9231,0.918,0.9909,0.9652,0.596,1,0.9632,0.8192,0.8662,0.593,0.8515
041407edf0cb5b5d8418c73387afb6d0,"weka.classifiers.functions.Logistic-['-M', 300]",,0.9996,0.6555,0.8686,0.8843,0.5177,0.7965,0.678,0.9966,0.888,0.9358,0.6923,0.9642,0.6812,0.9329,1,0.9551,0.6103,0.75,0.625,0.8522,0.761,0.7463,0.959,0.716,0.9524,0.7607,0.6522,0.5043,0.6355,0.8185,0.9864,0.837,0.8129,0.9666,0.8718,0.9933,0.9825,0.9566,0.807,0.7738,0.7838,0.9785,0.922,0.9555,0.9785,,0.9555,1,0.9242,0.9359,0.9369,0.9647,0.6944,0.9546,0.5444,0.413,0.8611,0.9541,0.9655,0.7841,0.9327,0.918,0.9917,0.9382,0.596,1,0.9632,0.8152,0.8662,0.593,0.8515
6e23ad615dbd9443d38cf872027fb6bb,weka.classifiers.functions.SMO-[],0.953,0.992,0.6284,0.8719,0.9174,0.6969,0.8142,0.6927,1,0.8768,0.9373,0.6853,0.97,0.5826,0.9346,1,0.8876,0.6286,0.7989,0.75,0.8522,0.763,0.8222,0.9617,0.6296,0.9345,0.7587,0.6522,0.5057,0.5701,0.8317,0.9864,0.8333,0.8516,0.9353,0.8775,0.9933,0.9797,0.9591,0.8596,0.8208,0.8649,0.9855,0.965,0.983,0.942,0.978,0.967,1,0.9312,0.9833,0.9369,0.935,0.7222,0.9793,0.6778,0.4277,0.8669,0.9251,0.939,0.7619,0.9808,0.9414,0.9933,0.9602,0.5364,1,0.9678,0.701,0.8666,0.5694,0.9307
e0fdaf1bc77c72e8ea9ec4ca459d1661,weka.classifiers.functions.Logistic-[],,0.7912,0.6555,0.8641,0.876,0.5243,0.7832,0.7024,0.9966,0.888,0.9403,0.6958,0.9642,0.687,0.9329,1,0.7416,0.5126,0.7582,0.625,0.8536,0.757,0.7444,0.9536,0.716,0.8661,0.7608,0.6549,0.5043,0.6262,0.8284,0.8776,0.8333,0.8258,0.9666,0.8775,0.9533,0.9753,0.4065,0.8246,0.7738,0.7838,0.977,0.721,0.925,0.742,,0.7815,1,0.9243,0.9391,0.9361,0.9653,0.6667,0.9555,0.5889,0.4041,0.8613,0.9558,0.9663,0.7587,0.6971,0.9341,0.9257,0.9,0.5497,0.9812,0.9678,0.8152,0.8664,0.5863,0.8812
37b398761e03a80d314f24da106bbac3,"weka.classifiers.functions.SMO-['-K', 'weka.classifiers.functions.supportVector.Puk']",0.735,0.8618,0.65,0.7751,0.9008,0.542,0.5354,0.6439,1,0.896,0.9172,0.6993,0.97,0.7101,0.9074,1,0.7978,0.4684,0.6848,0.625,0.8623,0.702,0.6481,0.6721,0.6543,0.875,0.7971,0.5231,0.5825,0.7056,0.8218,0.8469,0.8037,0.7742,0.9319,0.9402,0.96,0.9787,0.6665,0.6491,0.9562,0.7635,0.957,0.8215,0.968,0.721,0.9295,0.8085,0.9993,0.9808,0.9847,0.9392,0.9501,0.6944,0.9953,0.6667,0.3422,0.9134,0.9602,0.9467,0.673,0.851,0.5798,0.9304,0.563,0.5298,0.7787,0.9517,0.9384,0.8634,0.6132,0.7723
